Symbol,Volume
COST,2005607.000000
COWN,324901.000000
COWNL,1797.000000
CPHC,3.000000
CPIX,34525.000000
CPLP,64002.000000
CPRT,440653.000000
CPRX,852361.000000
CPSH,592129.000000
CPSI,24778.000000
CPSS,12700.000000
CPST,183953.000000
CPTA,7233.000000
CRAI,4602.000000
CRBP,3251125.000000
CREE,518316.000000
CREG,42012.000000
CRESY,139810.000000
CRIS,432219.000000
CRMT,9071.000000
CRNT,1276062.000000
CROX,339484.000000
CRTO,749078.000000
CRUS,196516.000000
CRVL,19909.000000
CRVS,550550.000000
CRWS,6876.000000
CSA,228.000000
CSB,8519.000000
CSBR,20149.000000
CSCO,5688910.000000
CSF,8768.000000
CSGP,108618.000000
CSGS,37306.000000
CSII,49008.000000
CSIQ,1587406.000000
CSOD,225173.000000
CSPI,7897.000000
CSQ,129893.000000
CSTE,37199.000000
CSWC,127944.000000
CSWI,24960.000000
CSX,892874.000000
CTAS,130811.000000
CTBI,37038.000000
CTG,36216.000000
CTHR,92581.000000
CTIB,302538.000000
CTIC,234289.000000
CTMX,371080.000000
CTRE,134426.000000
CTRN,82786.000000
CTSH,1113495.000000
CTSO,73419.000000
CTXS,438762.000000
CUBA,15974.000000
CUTR,15535.000000
CVBF,105725.000000
CVCO,10984.000000
CVCY,24377.000000
CVGI,154237.000000
CVGW,25572.000000
CVLT,106114.000000
CVLY,26197.000000
CVV,13059.000000
CWBC,1.000000
CWCO,33750.000000
CWST,66898.000000
CXDC,123343.000000
CXSE,169214.000000
CYAD,2640.000000
CYAN,3055.000000
CYBE,25200.000000
CYBR,223570.000000
CYCC,313220.000000
CYCCP,0.000000
CYRN,3635771.000000
CYRX,387634.000000
CYTK,206837.000000
CYTR,52446.000000
CZNC,24980.000000
CZR,1240314.000000
CZWI,4463.000000
DAIO,78521.000000
DAKT,314390.000000
DAX,2772.000000
DBVT,93441.000000
DCOM,52682.000000
DCTH,28793.000000
DENN,181023.000000
DFVL,7.000000
DFVS,239.000000
DGICA,59744.000000
DGICB,5.000000
DGII,164513.000000
DGLY,4430516.000000
DGRE,4107.000000
DGRS,5808.000000
DGRW,140440.000000
DHIL,30878.000000
DIOD,70407.000000
DISCA,2876645.000000
DISCB,942.000000
DISCK,2073829.000000
DISH,2370508.000000
DJCO,7.000000
DLHC,3684.000000
DLTH,291188.000000
